name,categories,address,lat,lng,distance,city
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,638,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,258,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,191,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,225,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,369,Melbourne
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,467,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,564,Melbourne
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,439,
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,557,Melbourne
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,605,Melbourne
2nd book shop,Bookstore,,-37.816244,144.968586,527,
All Books 4 Less,Bookstore,360 Bourke St.,-37.81429897217087,144.9630872916126,11,Melbourne
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,958,Docklands
Temple Books,Bookstore,Melbourne,-37.813988088322006,144.96299028396606,29,Rutherglen
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,1064,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,1954,Carlton
ACU Book Store,College Bookstore,,-37.807676,144.978315,1518,Fitzroy
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,6056,Footscray
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,2179,Fitzroy
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,2395,Fitzroy
Pelican Books,Bookstore,121 Elizabeth Street,-37.815487,144.963644,147,Melbourne
The Book Grocer,Bookstore,,-37.837622,144.995999,3889,South Yarra
Book Affair,Bookstore,,-37.775397,144.960742,4326,
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,4245,South Yarra
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,4661,
The Haunted Bookshop,Bookstore,15 McKillop Street,-37.81547,144.96169,190,Melbourne
Central Catholic Bookshop,Bookstore,Lonsdale St,-37.811968,144.963328,250,Melbourne
China Books,Bookstore,,-37.812401,144.965165,268,
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,20204,Wheelers Hill
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,5205,Brunswick
Robinsons Bookshop,Bookstore,,-37.81221352584693,144.96405798988505,236,Melbourne
Academic & General Bookshops,Bookstore,259 Swanston Street,-37.8111534734445,144.96456888826722,362,Melbourne
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,5556,Northcote
Dirt Cheap Books,Bookstore,266-310 Elizabeth St.,-37.811715,144.962276,289,Melbourne
The Book Grocer,Bookstore,,-37.81669,144.89159,6300,Yarraville
Academic And General Bookshops,College Bookstore,259 Swanston St.,-37.811439103868956,144.9648915625289,344,Melbourne
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,6371,Moonee Ponds
Xinhua Bookstore,Bookstore,Little Bourke Street,-37.81205557198029,144.966938495636,410,Melbourne
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,1131,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,1232,Melbourne
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,5298,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,2620,South Yarra
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,10675,Footscray
The Book Grocer,Bookstore,,-37.837622,144.995999,3178,South Yarra
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,16527,Wheelers Hill
Bookhouse,Bookstore,137 Fitzroy St,-37.85924710795372,144.9784987870557,579,St Kilda
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,5811,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,5714,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,5800,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,5730,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,5633,Melbourne
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,5864,Docklands
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,5778,Melbourne
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,7077,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,7232,Fitzroy
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,5493,Melbourne
Cosmos Books and Music,Bookstore,112 Acland Street,-37.86882858656735,144.9799564502599,576,Melbourne
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,7382,Williamstown
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,7478,Carlton
